,,,ttest_stat,ttest_pval
exemestane,200.0,24,-2.7968050329539906,0.02331238740630531
exemestane,100.0,24,-2.615236096455112,0.03087810804135106
exemestane,50.0,24,0.9450184780925407,0.37231244491442944
exemestane,25.0,24,0.4831603320895268,0.6419273871605251
exemestane,12.5,24,-6.1004390544609794e-09,0.9999999952819324
exemestane,200.0,48,-2.082823893043113,0.07080367982947648
exemestane,100.0,48,-3.236769603947008,0.011935261339839099
exemestane,50.0,48,-2.6617020875423205,0.02872953867927892
exemestane,25.0,48,0.7097633414616342,0.4980134296664088
exemestane,12.5,48,-8.519651758799067e-16,0.9999999999999993
exemestane,200.0,72,-2.021904531124598,0.07782840296600577
exemestane,100.0,72,-5.898454328805171,0.0003623762610929755
exemestane,50.0,72,-1.9277156540156868,0.09003748450478702
exemestane,25.0,72,-0.3145725132202284,0.7611338894251127
exemestane,12.5,72,-3.969002991269249e-09,0.9999999969303809
tamoxifen,200.0,24,-0.3351977946312079,0.7460962633728163
tamoxifen,100.0,24,-2.204562488815346,0.0585756539298565
tamoxifen,50.0,24,1.649245806656422,0.13770730824502825
tamoxifen,25.0,24,1.9368790564694776,0.08877304486193227
tamoxifen,12.5,24,0.49008229317310226,0.6372325222596387
tamoxifen,200.0,48,2.850608003028695,0.02145898974113922
tamoxifen,100.0,48,-5.3260094469915655,0.0007059108608132035
tamoxifen,50.0,48,-17.87317420894292,9.838411787409044e-08
tamoxifen,25.0,48,-0.1039159623963049,0.9197939603165072
tamoxifen,12.5,48,1.3283644475574339,0.22070082487139014
tamoxifen,200.0,72,1.5504210615959118,0.15963715246184296
tamoxifen,100.0,72,-1.9380081417708914,0.08861843003252495
tamoxifen,50.0,72,-2.8576898416752314,0.02122663904882315
tamoxifen,25.0,72,-9.715796721579293,1.0522494878496672e-05
tamoxifen,12.5,72,-1.3500754743297372,0.21394351813498025
